year,date,stage,course,distance,type,winner,distance_km,winner_name,winner_country_code,stage_type_group,decade,stages_count,starters,finishers,completion_rate,completion_pct
1927,1927-06-24,6,Dinan to Brest,206 km (128 mi),Team time trial,Andr̩ Leducq (FRA),206.0,Andr̩ Leducq,FRA,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-06-25,7,Brest to Vannes,207 km (129 mi),Team time trial,Gustaaf van Slembrouck (BEL),207.0,Gustaaf van Slembrouck,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-06-26,8,Vannes to Les Sables d'Olonne,204 km (127 mi),Team time trial,Raymond Decorte (BEL),204.0,Raymond Decorte,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-06-27,9,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Team time trial,Adelin Benoit (BEL),285.0,Adelin Benoit,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-06-28,10,Bordeaux to Bayonne,189 km (117 mi),Plain stage,P̩ Verhaegen (BEL),189.0,P̩ Verhaegen,BEL,Flat,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-06-30,11,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Nicolas Frantz (LUX),326.0,Nicolas Frantz,LUX,Mountain,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-02,12,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Gustaaf van Slembrouck (BEL),323.0,Gustaaf van Slembrouck,BEL,Mountain,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-04,13,Perpignan to Marseille,360 km (220 mi),Plain stage,Maurice Dewaele (BEL),360.0,Maurice Dewaele,BEL,Flat,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-05,14,Marseille to Toulon,120 km (75 mi),Team time trial,Antonin Magne (FRA),120.0,Antonin Magne,FRA,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-06,15,Toulon to Nice,220 km (140 mi),Stage with mountain(s),Nicolas Frantz (LUX),220.0,Nicolas Frantz,LUX,Mountain,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-08,16,Nice to Brian̤on,275 km (171 mi),Stage with mountain(s),Julien Vervaecke (BEL),275.0,Julien Vervaecke,BEL,Mountain,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-09,17,Brian̤on to Evian,283 km (176 mi),Stage with mountain(s),P̩ Verhaegen (BEL),283.0,P̩ Verhaegen,BEL,Mountain,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-11,18,Evian to Pontarlier,213 km (132 mi),Team time trial,Adelin Benoit (BEL),213.0,Adelin Benoit,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-12,19,Pontarlier to Belfort,119 km (74 mi),Team time trial,Maurice Geldhof (BEL),119.0,Maurice Geldhof,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-13,20,Belfort to Strasbourg,145 km (90 mi),Team time trial,Raymond Decorte (BEL),145.0,Raymond Decorte,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-14,21,Strasbourg to Metz,165 km (103 mi),Team time trial,Nicolas Frantz (LUX),165.0,Nicolas Frantz,LUX,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-15,22,Metz to Charleville,159 km (99 mi),Team time trial,Hector Martin (BEL),159.0,Hector Martin,BEL,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-16,23,Charleville to Dunkerque,270 km (170 mi),Team time trial,Andr̩ Leducq (FRA),270.0,Andr̩ Leducq,FRA,Time Trial,1920,24,142,39,0.2746478873239437,27.464788732394368
1927,1927-07-17,24,Dunkerque to Paris,344 km (214 mi),Plain stage,Andr̩ Leducq (FRA),344.0,Andr̩ Leducq,FRA,Flat,1920,24,142,39,0.2746478873239437,27.464788732394368
1928,1928-06-17,1,Paris to Caen,207 km (129 mi),Team time trial,Nicolas Frantz (LUX),207.0,Nicolas Frantz,LUX,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-18,2,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Team time trial,Andr̩ Leducq (FRA),140.0,Andr̩ Leducq,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-19,3,Cherbourg to Dinan,199 km (124 mi),Team time trial,Gaston Rebry (BEL),199.0,Gaston Rebry,BEL,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-20,4,Dinan to Brest,206 km (128 mi),Team time trial,P̩ Verhaegen (BEL),206.0,P̩ Verhaegen,BEL,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-21,5,Brest to Vannes,208 km (129 mi),Team time trial,Marcel Bidot (FRA),208.0,Marcel Bidot,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-22,6,Vannes to Les Sables d'Olonne,204 km (127 mi),Team time trial,Nicolas Frantz (LUX),204.0,Nicolas Frantz,LUX,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-23,7,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Team time trial,Victor Fontan (FRA),285.0,Victor Fontan,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-24,8,Bordeaux to Hendaye,225 km (140 mi),Team time trial,Maurice Dewaele (BEL),225.0,Maurice Dewaele,BEL,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-26,9,Hendaye to Luchon,387 km (240 mi),Stage with mountain(s),Victor Fontan (FRA),387.0,Victor Fontan,FRA,Mountain,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-28,10,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Andr̩ Leducq (FRA),323.0,Andr̩ Leducq,FRA,Mountain,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-06-30,11,Perpignan to Marseille,363 km (226 mi),Plain stage,Andr̩ Leducq (FRA),363.0,Andr̩ Leducq,FRA,Flat,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-02,12,Marseille to Nice,330 km (210 mi),Stage with mountain(s),Nicolas Frantz (LUX),330.0,Nicolas Frantz,LUX,Mountain,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-04,13,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Antonin Magne (FRA),333.0,Antonin Magne,FRA,Mountain,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-06,14,Grenoble to Evian,329 km (204 mi),Stage with mountain(s),Julien Moineau (FRA),329.0,Julien Moineau,FRA,Mountain,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-08,15,Evian to Pontarlier,213 km (132 mi),Team time trial,Pierre Magne (FRA),213.0,Pierre Magne,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-09,16,Pontarlier to Belfort,119 km (74 mi),Team time trial,Andr̩ Leducq (FRA),119.0,Andr̩ Leducq,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-10,17,Belfort to Strasbourg,145 km (90 mi),Team time trial,Joseph Mauclair (FRA),145.0,Joseph Mauclair,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-11,18,Strasbourg to Metz,165 km (103 mi),Team time trial,Nicolas Frantz (LUX),165.0,Nicolas Frantz,LUX,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-12,19,Metz to Charleville,159 km (99 mi),Team time trial,Marcel Huot (FRA),159.0,Marcel Huot,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-13,20,Charleville to Malo-les-Bains,271 km (168 mi),Team time trial,Maurice Dewaele (BEL),271.0,Maurice Dewaele,BEL,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-14,21,Malo-les-Bains to Dieppe,234 km (145 mi),Team time trial,Antonin Magne (FRA),234.0,Antonin Magne,FRA,Time Trial,1920,22,162,41,0.25308641975308643,25.308641975308642
1928,1928-07-15,22,Dieppe to Paris,331 km (206 mi),Plain stage,Nicolas Frantz (LUX),331.0,Nicolas Frantz,LUX,Flat,1920,22,162,41,0.25308641975308643,25.308641975308642
1929,1929-06-30,1,Paris to Caen,206 km (128 mi),Plain stage,Aim̩ Dossche (BEL),206.0,Aim̩ Dossche,BEL,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-01,2,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Plain stage,Andr̩ Leducq (FRA),140.0,Andr̩ Leducq,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-02,3,Cherbourg to Dinan,199 km (124 mi),Plain stage,Omer Taverne (BEL),199.0,Omer Taverne,BEL,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-03,4,Dinan to Brest,206 km (128 mi),Plain stage,Louis Delannoy (BEL),206.0,Louis Delannoy,BEL,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-04,5,Brest to Vannes,208 km (129 mi),Plain stage,Gustaaf van Slembrouck (BEL),208.0,Gustaaf van Slembrouck,BEL,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-05,6,Vannes to Les Sables d'Olonne,206 km (128 mi),Plain stage,Paul Le Drogo (FRA),206.0,Paul Le Drogo,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-06,7,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Nicolas Frantz (LUX),285.0,Nicolas Frantz,LUX,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-07,8,Bordeaux to Bayonne,182 km (113 mi),Plain stage,Julien Moineau (FRA),182.0,Julien Moineau,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-09,9,Bayonne to Luchon,363 km (226 mi),Stage with mountain(s),Salvador Cardona (ESP),363.0,Salvador Cardona,ESP,Mountain,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-11,10,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jef Demuysere (BEL),323.0,Jef Demuysere,BEL,Mountain,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-13,11,Perpignan to Marseille,366 km (227 mi),Plain stage,Andr̩ Leducq (FRA),366.0,Andr̩ Leducq,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-15,12,Marseille to Cannes,191 km (119 mi),Team time trial,Marcel Bidot (FRA),191.0,Marcel Bidot,FRA,Time Trial,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-16,13,Cannes to Nice,133 km (83 mi),Stage with mountain(s),Benǫt Faur̩ (FRA),133.0,Benǫt Faur̩,FRA,Mountain,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-18,14,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Gaston Rebry (BEL),333.0,Gaston Rebry,BEL,Mountain,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-20,15,Grenoble to Evian,329 km (204 mi),Stage with mountain(s),Julien Vervaecke (BEL),329.0,Julien Vervaecke,BEL,Mountain,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-22,16,Evian to Belfort,283 km (176 mi),Stage with mountain(s),Charles P̩lissier (FRA),283.0,Charles P̩lissier,FRA,Mountain,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-23,17,Belfort to Strasbourg,145 km (90 mi),Plain stage,Andr̩ Leducq (FRA),145.0,Andr̩ Leducq,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-24,18,Strasbourg to Metz,165 km (103 mi),Plain stage,Andr̩ Leducq (FRA),165.0,Andr̩ Leducq,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-25,19,Metz to Charleville,159 km (99 mi),Team time trial,Bernard van Rysselberghe (BEL),159.0,Bernard van Rysselberghe,BEL,Time Trial,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-26,20,Charleville to Malo-les-Bains,270 km (170 mi),Team time trial,Maurice Dewaele (BEL),270.0,Maurice Dewaele,BEL,Time Trial,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-27,21,Malo-les-Bains to Dieppe,234 km (145 mi),Plain stage,Andr̩ Leducq (FRA),234.0,Andr̩ Leducq,FRA,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1929,1929-07-28,22,Dieppe to Paris,332 km (206 mi),Plain stage,Nicolas Frantz (LUX),332.0,Nicolas Frantz,LUX,Flat,1920,22,155,60,0.3870967741935484,38.70967741935484
1930,1930-07-02,1,Paris to Caen,206 km (128 mi),Plain stage,Charles P̩lissier (FRA),206.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-03,2,Caen to Dinan,203 km (126 mi),Plain stage,Learco Guerra (ITA),203.0,Learco Guerra,ITA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-04,3,Dinan to Brest,206 km (128 mi),Plain stage,Charles P̩lissier (FRA),206.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-05,4,Brest to Vannes,210 km (130 mi),Plain stage,Omer Taverne (BEL),210.0,Omer Taverne,BEL,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-06,5,Vannes to Les Sables d'Olonne,202 km (126 mi),Plain stage,Andr̩ Leducq (FRA),202.0,Andr̩ Leducq,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-07,6,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Jean Aerts (BEL),285.0,Jean Aerts,BEL,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-08,7,Bordeaux to Hendaye,222 km (138 mi),Plain stage,Jules Merviel (FRA),222.0,Jules Merviel,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-09,8,Hendaye to Pau,146 km (91 mi),Plain stage,Alfredo Binda (ITA),146.0,Alfredo Binda,ITA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-10,9,Pau to Luchon,231 km (144 mi),Stage with mountain(s),Alfredo Binda (ITA),231.0,Alfredo Binda,ITA,Mountain,1930,21,100,59,0.59,59.0
1930,1930-07-12,10,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Charles P̩lissier (FRA),322.0,Charles P̩lissier,FRA,Mountain,1930,21,100,59,0.59,59.0
1930,1930-07-14,11,Perpignan to Montpellier,164 km (102 mi),Plain stage,Charles P̩lissier (FRA),164.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-15,12,Montpellier to Marseille,209 km (130 mi),Plain stage,Antonin Magne (FRA),209.0,Antonin Magne,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-16,13,Marseille to Cannes,181 km (112 mi),Plain stage,Learco Guerra (ITA),181.0,Learco Guerra,ITA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-17,14,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Louis Peglion (FRA),132.0,Louis Peglion,FRA,Mountain,1930,21,100,59,0.59,59.0
1930,1930-07-19,15,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Learco Guerra (ITA),333.0,Learco Guerra,ITA,Mountain,1930,21,100,59,0.59,59.0
1930,1930-07-21,16,Grenoble to Evian,331 km (206 mi),Stage with mountain(s),Andr̩ Leducq (FRA),331.0,Andr̩ Leducq,FRA,Mountain,1930,21,100,59,0.59,59.0
1930,1930-07-23,17,Evian to Belfort,282 km (175 mi),Stage with mountain(s),Frans Bonduel (BEL),282.0,Frans Bonduel,BEL,Mountain,1930,21,100,59,0.59,59.0
1930,1930-07-24,18,Belfort to Metz,223 km (139 mi),Plain stage,Charles P̩lissier (FRA),223.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-25,19,Metz to Charleville,159 km (99 mi),Plain stage,Charles P̩lissier (FRA),159.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-26,20,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Charles P̩lissier (FRA),271.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1930,1930-07-27,21,Malo-les-Bains to Paris,300 km (190 mi),Plain stage,Charles P̩lissier (FRA),300.0,Charles P̩lissier,FRA,Flat,1930,21,100,59,0.59,59.0
1931,1931-06-30,1,Paris to Caen,208 km (129 mi),Plain stage,Alfred Haemerlinck (BEL),208.0,Alfred Haemerlinck,BEL,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-01,2,Caen to Dinan,212 km (132 mi),Plain stage,Max Bulla (AUT),212.0,Max Bulla,AUT,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-02,3,Dinan to Brest,206 km (128 mi),Plain stage,Fabio Battesini (ITA),206.0,Fabio Battesini,ITA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-03,4,Brest to Vannes,211 km (131 mi),Plain stage,Andr̩ Godinat (FRA),211.0,Andr̩ Godinat,FRA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-04,5,Vannes to Les Sables d'Olonne,202 km (126 mi),Plain stage,Charles P̩lissier (FRA),202.0,Charles P̩lissier,FRA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-05,6,Les Sables d'Olonne to Bordeaux,338 km (210 mi),Plain stage,Alfred Haemerlinck (BEL),338.0,Alfred Haemerlinck,BEL,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-06,7,Bordeaux to Bayonne,180 km (110 mi),Plain stage,G̩rard Loncke (BEL),180.0,G̩rard Loncke,BEL,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-07,8,Bayonne to Pau,106 km (66 mi),Plain stage,Charles P̩lissier (FRA),106.0,Charles P̩lissier,FRA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-08,9,Pau to Luchon,231 km (144 mi),Stage with mountain(s),Antonin Magne (FRA),231.0,Antonin Magne,FRA,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-10,10,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Rafaele di Paco (ITA),322.0,Rafaele di Paco,ITA,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-12,11,Perpignan to Montpellier,164 km (102 mi),Plain stage,Rafaele di Paco (ITA),164.0,Rafaele di Paco,ITA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-13,12,Montpellier to Marseille,207 km (129 mi),Plain stage,Max Bulla (AUT),207.0,Max Bulla,AUT,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-14,13,Marseille to Cannes,181 km (112 mi),Plain stage,Charles P̩lissier (FRA),181.0,Charles P̩lissier,FRA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-15,14,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Eugenio Gestri (ITA),132.0,Eugenio Gestri,ITA,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-17,15,Nice to Gap,233 km (145 mi),Stage with mountain(s),Jef Demuysere (BEL),233.0,Jef Demuysere,BEL,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-18,16,Gap to Grenoble,102 km (63 mi),Stage with mountain(s),Charles P̩lissier (FRA),102.0,Charles P̩lissier,FRA,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-19,17,Grenoble to Aix-les-Bains,230 km (140 mi),Stage with mountain(s),Max Bulla (AUT),230.0,Max Bulla,AUT,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-20,18,Aix-les-Bains to Evian,204 km (127 mi),Stage with mountain(s),Jef Demuysere (BEL),204.0,Jef Demuysere,BEL,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-21,19,Evian to Belfort,282 km (175 mi),Stage with mountain(s),Rafaele di Paco (ITA),282.0,Rafaele di Paco,ITA,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-22,20,Belfort to Colmar,209 km (130 mi),Stage with mountain(s),Andr̩ Leducq (FRA),209.0,Andr̩ Leducq,FRA,Mountain,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-23,21,Colmar to Metz,192 km (119 mi),Plain stage,Rafaele di Paco (ITA),192.0,Rafaele di Paco,ITA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-24,22,Metz to Charleville,159 km (99 mi),Plain stage,Raffaele di Paco (ITA),159.0,Raffaele di Paco,ITA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-25,23,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Gaston Rebry (BEL),271.0,Gaston Rebry,BEL,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1931,1931-07-26,24,Malo-les-Bains to Paris,313 km (194 mi),Plain stage,Charles P̩lissier (FRA),313.0,Charles P̩lissier,FRA,Flat,1930,24,81,35,0.43209876543209874,43.20987654320987
1932,1932-07-06,1,Paris to Caen,208 km (129 mi),Plain stage,Jean Aerts (BEL),208.0,Jean Aerts,BEL,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-07,2,Caen to Nantes,300 km (190 mi),Plain stage,Kurt Sțpel (GER),300.0,Kurt Sțpel,GER,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-09,3,Nantes to Bordeaux,387 km (240 mi),Plain stage,Andr̩ Leducq (FRA),387.0,Andr̩ Leducq,FRA,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-11,4,Bordeaux to Pau,206 km (128 mi),Plain stage,Georges Ronsse (BEL),206.0,Georges Ronsse,BEL,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-12,5,Pau to Luchon,229 km (142 mi),Stage with mountain(s),Antonio Pesenti (ITA),229.0,Antonio Pesenti,ITA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-14,6,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Frans Bonduel (BEL),322.0,Frans Bonduel,BEL,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-16,7,Perpignan to Montpellier,168 km (104 mi),Plain stage,Frans Bonduel (BEL),168.0,Frans Bonduel,BEL,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-17,8,Montpellier to Marseille,206 km (128 mi),Plain stage,Michele Orecchia (ITA),206.0,Michele Orecchia,ITA,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-18,9,Marseille to Cannes,191 km (119 mi),Plain stage,Rafaele di Paco (ITA),191.0,Rafaele di Paco,ITA,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-19,10,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Francesco Camusso (ITA),132.0,Francesco Camusso,ITA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-21,11,Nice to Gap,233 km (145 mi),Stage with mountain(s),Andr̩ Leducq (FRA),233.0,Andr̩ Leducq,FRA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-22,12,Gap to Grenoble,102 km (63 mi),Stage with mountain(s),Roger Lap̩bie (FRA),102.0,Roger Lap̩bie,FRA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-23,13,Grenoble to Aix-les-Bains,230 km (140 mi),Stage with mountain(s),Andr̩ Leducq (FRA),230.0,Andr̩ Leducq,FRA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-24,14,Aix-les-Bains to Evian,204 km (127 mi),Stage with mountain(s),Rafaele di Paco (ITA),204.0,Rafaele di Paco,ITA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-25,15,Evian to Belfort,291 km (181 mi),Stage with mountain(s),Andr̩ Leducq (FRA),291.0,Andr̩ Leducq,FRA,Mountain,1930,21,80,57,0.7125,71.25
1932,1932-07-26,16,Belfort to Strasbourg,145 km (90 mi),Plain stage,G̩rard Loncke (BEL),145.0,G̩rard Loncke,BEL,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-27,17,Strasbourg to Metz,165 km (103 mi),Plain stage,Rafaele di Paco (ITA),165.0,Rafaele di Paco,ITA,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-28,18,Metz to Charleville,159 km (99 mi),Plain stage,Rafaele di Paco (ITA),159.0,Rafaele di Paco,ITA,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-29,19,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Gaston Rebry (BEL),271.0,Gaston Rebry,BEL,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-30,20,Malo-les-Bains to Amiens,212 km (132 mi),Plain stage,Andr̩ Leducq (FRA),212.0,Andr̩ Leducq,FRA,Flat,1930,21,80,57,0.7125,71.25
1932,1932-07-31,21,Amiens to Paris,159 km (99 mi),Plain stage,Andr̩ Leducq (FRA),159.0,Andr̩ Leducq,FRA,Flat,1930,21,80,57,0.7125,71.25
1933,1933-06-27,1,Paris to Lille,262 km (163 mi),Plain stage,Maurice Archambaud (FRA),262.0,Maurice Archambaud,FRA,Flat,1930,23,80,40,0.5,50.0
1933,1933-06-28,2,Lille to Charleville,192 km (119 mi),Plain stage,Learco Guerra (ITA),192.0,Learco Guerra,ITA,Flat,1930,23,80,40,0.5,50.0
1933,1933-06-29,3,Charleville to Metz,166 km (103 mi),Plain stage,Alfons Schepers (BEL),166.0,Alfons Schepers,BEL,Flat,1930,23,80,40,0.5,50.0
1933,1933-06-30,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Jean Aerts (BEL),220.0,Jean Aerts,BEL,Mountain,1930,23,80,40,0.5,50.0
1933,1933-07-01,5,Belfort to Evian,293 km (182 mi),Stage with mountain(s),L̩on Louyet (BEL),293.0,L̩on Louyet,BEL,Mountain,1930,23,80,40,0.5,50.0
1933,1933-07-03,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),Learco Guerra (ITA),207.0,Learco Guerra,ITA,Mountain,1930,23,80,40,0.5,50.0
1933,1933-07-04,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),Learco Guerra (ITA),229.0,Learco Guerra,ITA,Mountain,1930,23,80,40,0.5,50.0
1933,1933-07-05,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Georges Speicher (FRA),102.0,Georges Speicher,FRA,Mountain,1930,23,80,40,0.5,50.0
1933,1933-07-06,9,Gap to Digne,227 km (141 mi),Stage with mountain(s),Georges Speicher (FRA),227.0,Georges Speicher,FRA,Mountain,1930,23,80,40,0.5,50.0
1933,1933-07-07,10,Digne to Nice,156 km (97 mi),Plain stage,Fernand Cornez (FRA),156.0,Fernand Cornez,FRA,Flat,1930,23,80,40,0.5,50.0
1933,1933-07-09,11,Nice to Cannes,128 km (80 mi),Stage with mountain(s),Maurice Archambaud (FRA),128.0,Maurice Archambaud,FRA,Mountain,1930,23,80,40,0.5,50.0
